Image Type,PSNR
No,40.856999619183625
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,50.28871407910682
No,73.11614432151845
No,84.53847423946557
No,48.245111054764294
No,49.53814744044259
No,46.3304581608501
No,49.7582007298669
No,47.044541587345485
No,45.601558660241075
No,46.98836539745777
No,100.0
No,100.0
No,100.0
No,100.0
No,63.56869241821094
No,100.0
No,58.616733065568795
No,100.0
No,66.5869998649403
No,55.467426637890476
No,100.0
No,68.23622085030814
No,100.0
No,56.46968044876879
No,100.0
No,100.0
No,100.0
No,47.05366128375709
No,46.7164705731779
No,47.52973465986579
No,49.28388136652495
No,45.00298752122288
No,47.51786375631873
No,45.45824884418988
No,45.785497714105034
No,45.37710827828013
No,48.99229420132599
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,100.0
No,57.494232497323175
No,59.062692997957384
No,68.96030055810473
No,100.0
No,61.12282022070146
No,100.0
No,100.0
No,100.0
No,100.0
No,55.544119364018655
No,55.580889503076996
No,63.12695941953866
No,68.14219575591207
No,60.23612290238902
No,63.17650442671622
No,100.0
No,66.94291652466804
No,57.16938646622432
No,100.0
No,100
No,100.0
No,76.12752559426501
No,100.0
No,100.0
No,100.0
No,72.96883200944089
No,100.0
No,100.0
No,73.11722563762518
No,100.0
No,100.0
No,71.25682273565026
No,100.0
No,39.096090933180164
No,50.14362643953204
No,47.28509937415897
No,41.83811009796629
No,100.0
No,39.76080412487839
No,100.0
No,45.97324073120263
No,48.199048993200826
No,39.60529090832053
No,100.0
No,100.0

